GLACCOUNT;FUNCTIONALAREA;TRANSACTIONTYPE;TRADINGPARTNER;CONTIGENCY1;CONTIGENCY2;CONTIGENCY3;CONTIGENCY4;CONTIGENCY5;CONTIGENCY6;CONTIGENCY7;REKNR;REKOMS;DI1NR;DI2NR;REFNR;ORGNR_COR;TRANR;CATNR;JNLOMS;XLSBLD
11121202;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11121203;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11121206;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11121207;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11121210;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11121300;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11121301;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11121400;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11121420;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11121450;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11122100;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11122101;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11122102;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11122200;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11122201;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11122202;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11122203;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11122206;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11122207;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11122210;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11122300;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11122301;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11122400;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11122420;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11123100;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11140100;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11140101;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11140102;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11140103;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11211100;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11211150;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11211200;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11211250;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11212100;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11212150;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11212200;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11212250;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11213100;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11213150;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11213200;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11213250;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11221100;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11221150;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11221200;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11221250;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11221300;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11221350;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11221400;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11221401;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11221450;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11221451;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11222100;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11222150;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11222200;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11222250;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11222300;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11222350;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11222400;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11222401;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11222450;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11222451;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11223100;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11223150;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11223200;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11223250;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11223300;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11223350;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11223400;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11223450;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11223451;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11230100;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11230150;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11230200;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11230250;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11230300;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11230350;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11230400;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11230450;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
11230451;;;;;;;;;;;BS012000D;Tangible fixed assets Leased;;;;;S_MA;U;;BS
12101100;;;;;;;;;;;BS030000D;Goodwill;;;;;S_MA;U;;BS
12103100;;;;;;;;;;;BS030000D;Goodwill;;;;;S_MA;U;;BS
12103101;;;;;;;;;;;BS030000D;Goodwill;;;;;S_MA;U;;BS
12209100;;;;;;;;;;;BS020000D;Intangible fixed assets;;;;;S_MA;U;;BS
12209200;;;;;;;;;;;BS020000D;Intangible fixed assets;;;;;S_MA;U;;BS
12211200;;;;;;;;;;;BS020000D;Intangible fixed assets;;;;;S_MA;U;;BS
12212200;;;;;;;;;;;BS020000D;Intangible fixed assets;;;;;S_MA;U;;BS
12221300;;;;;;;;;;;BS020000D;Intangible fixed assets;;;;;S_MA;U;;BS
12222300;;;;;;;;;;;BS020000D;Intangible fixed assets;;;;;S_MA;U;;BS
13200100;;;;;;;;;;;BS051000D;Participating interest in Subsidiairies;;;;;S_MA;U;;BS
13200101;;;;;;;;;;;BS051000D;Participating interest in Subsidiairies;;;;;S_MA;U;;BS
13320100;;;;;;;;;;;BS055100DN;Trade & other investments;;;;;S_MA;U;;BS
13320101;;;;;;;;;;;BS055100DN;Trade & other investments;;;;;S_MA;U;;BS
14122200;;;;;;;;;;;BS111140;Steel;;;;;S_MA;U;;BS
14122201;;;;;;;;;;;BS111140;Steel;;;;;S_MA;U;;BS
14124100;;;;;;;;;;;BS112000D;Stores & spares;;;;;S_MA;U;;BS
14131200;;;;;;;;;;;BS111690;Other raw materials;;;;;S_MA;U;;BS
14131299;;;;;;;;;;;BS111690;Other raw materials;;;;;S_MA;U;;BS
14131500;;;;;;;;;;;BS111690;Other raw materials;;;;;S_MA;U;;BS
14131505;;;;;;;;;;;BS111690;Other raw materials;;;;;S_MA;U;;BS
14131510;;;;;;;;;;;BS111690;Other raw materials;;;;;S_MA;U;;BS
14131520;;;;;;;;;;;BS111690;Other raw materials;;;;;S_MA;U;;BS
14131530;;;;;;;;;;;BS111690;Other raw materials;;;;;S_MA;U;;BS
14131531;;;;;;;;;;;BS111690;Other raw materials;;;;;S_MA;U;;BS
14131540;;;;;;;;;;;BS111690;Other raw materials;;;;;S_MA;U;;BS
14131599;;;;;;;;;;;BS111690;Other raw materials;;;;;S_MA;U;;BS
14199100;;;;;;;;;;;BS111900;Obsolescence provision raw materials;;;;;S_MA;U;;BS
14220100;;;;;;;;;;;BS114100;Work in progress Production (not construction contract related);;;;;S_MA;U;;BS
14230100;;;;;;;;;;;BS114100;Work in progress Production (not construction contract related);;;;;S_MA;U;;BS
14230500;;;;;;;;;;;BS114100;Work in progress Production (not construction contract related);;;;;S_MA;U;;BS
14299100;;;;;;;;;;;BS114900;Obsolescence provision work in progress;;;;;S_MA;U;;BS
14311101;;;;;;;;;;;BS115200;Finished goods (manufactured);;;;;S_MA;U;;BS
14311102;;;;;;;;;;;BS115200;Finished goods (manufactured);;;;;S_MA;U;;BS
14311103;;;;;;;;;;;BS115200;Finished goods (manufactured);;;;;S_MA;U;;BS
14311104;;;;;;;;;;;BS115200;Finished goods (manufactured);;;;;S_MA;U;;BS
14311198;;;;;;;;;;;BS115200;Finished goods (manufactured);;;;;S_MA;U;;BS
14311199;;;;;;;;;;;BS115200;Finished goods (manufactured);;;;;S_MA;U;;BS
14312100;;;;;;;;;;;BS116000D;Goods in transit;;;;;S_MA;U;;BS
14312102;;;;;;;;;;;BS116000D;Goods in transit;;;;;S_MA;U;;BS
14312103;;;;;;;;;;;BS116000D;Goods in transit;;;;;S_MA;U;;BS
14312104;;;;;;;;;;;BS116000D;Goods in transit;;;;;S_MA;U;;BS
14312199;;;;;;;;;;;BS116000D;Goods in transit;;;;;S_MA;U;;BS
14320100;;;;;;;;;;;BS115100;Trade goods (purchased for resale);;;;;S_MA;U;;BS
14320102;;;;;;;;;;;BS115100;Trade goods (purchased for resale);;;;;S_MA;U;;BS
14320103;;;;;;;;;;;BS115100;Trade goods (purchased for resale);;;;;S_MA;U;;BS
14320198;;;;;;;;;;;BS115100;Trade goods (purchased for resale);;;;;S_MA;U;;BS
14399100;;;;;;;;;;;BS115900;Obsolescence provision;;;;;S_MA;U;;BS
14399101;;;;;;;;;;;BS115900;Obsolescence provision;;;;;S_MA;U;;BS
14399102;;;;;;;;;;;BS115900;Obsolescence provision;;;;;S_MA;U;;BS
14399103;;;;;;;;;;;BS115900;Obsolescence provision;;;;;S_MA;U;;BS
14399104;;;;;;;;;;;BS115900;Obsolescence provision;;;;;S_MA;U;;BS
14399105;;;;;;;;;;;BS115900;Obsolescence provision;;;;;S_MA;U;;BS
15111100;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111101;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111102;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111103;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111104;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111105;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111106;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111107;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111110;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111111;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111112;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111113;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111114;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111115;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111116;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111117;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111118;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111123;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111124;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111125;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15111199;;;;;;;;;;;BS121100;Trade debtors;;;;;S_MA;U;;BS
15112100;;;;;;;;;;;BS121200;Trade debtors intercompany;;;;;S_MA;U;;BS
15112100;;;AE35;;;;;;;;BSD121200;Trade debtors intercompany;;;;2165U01;S_MA;U;;BS_IC
15112100;;;AT35;;;;;;;;BSD121200;Trade debtors intercompany;;;;2162U01;S_MA;U;;BS_IC
15112100;;;AT40;;;;;;;;BSD121200;Trade debtors intercompany;;;;1045U01;S_MA;U;;BS_IC
15112100;;;AU35;;;;;;;;BSD121200;Trade debtors intercompany;;;;2161U01;S_MA;U;;BS_IC
15112100;;;BE35;;;;;;;;BSD121200;Trade debtors intercompany;;;;S038U01;S_MA;U;;BS_IC
15112100;;;BE40;;;;;;;;BSD121200;Trade debtors intercompany;;;;2340U01;S_MA;U;;BS_IC
15112100;;;CH35;;;;;;;;BSD121200;Trade debtors intercompany;;;;S071U01;S_MA;U;;BS_IC
15112100;;;CH41;;;;;;;;BSD121200;Trade debtors intercompany;;;;S105U01;S_MA;U;;BS_IC
15112100;;;CN35;;;;;;;;BSD121200;Trade debtors intercompany;;;;5327U01;S_MA;U;;BS_IC
15112100;;;CZ35;;;;;;;;BSD121200;Trade debtors intercompany;;;;5317U01;S_MA;U;;BS_IC
15112100;;;DE35;;;;;;;;BSD121200;Trade debtors intercompany;;;;5300U01;S_MA;U;;BS_IC
15112100;;;DE40;;;;;;;;BSD121200;Trade debtors intercompany;;;;1020U01;S_MA;U;;BS_IC
15112100;;;DE41;;;;;;;;BSD121200;Trade debtors intercompany;;;;S005U01;S_MA;U;;BS_IC
15112100;;;DE91;;;;;;;;BSD121200;Trade debtors intercompany;;;;5324U01;S_MA;U;;BS_IC
15112100;;;DE92;;;;;;;;BSD121200;Trade debtors intercompany;;;;5323U01;S_MA;U;;BS_IC
15112100;;;DK40;;;;;;;;BSD121200;Trade debtors intercompany;;;;2156U01;S_MA;U;;BS_IC
15112100;;;ES35;;;;;;;;BSD121200;Trade debtors intercompany;;;;S060U01;S_MA;U;;BS_IC
15112100;;;ES40;;;;;;;;BSD121200;Trade debtors intercompany;;;;S115U01;S_MA;U;;BS_IC
15112100;;;ES41;;;;;;;;BSD121200;Trade debtors intercompany;;;;S115U01;S_MA;U;;BS_IC
15112100;;;FI40;;;;;;;;BSD121200;Trade debtors intercompany;;;;S108U02;S_MA;U;;BS_IC
15112100;;;FR35;;;;;;;;BSD121200;Trade debtors intercompany;;;;S059U01;S_MA;U;;BS_IC
15112100;;;GB35;;;;;;;;BSD121200;Trade debtors intercompany;;;;2160U01;S_MA;U;;BS_IC
15112100;;;GB40;;;;;;;;BSD121200;Trade debtors intercompany;;;;6053U01;S_MA;U;;BS_IC
15112100;;;HK91;;;;;;;;BSD121200;Trade debtors intercompany;;;;5326U01;S_MA;U;;BS_IC
15112100;;;IE40;;;;;;;;BSD121200;Trade debtors intercompany;;;;9727U04;S_MA;U;;BS_IC
15112100;;;IE41;;;;;;;;BSD121200;Trade debtors intercompany;;;;7140U01;S_MA;U;;BS_IC
15112100;;;IN35;;;;;;;;BSD121200;Trade debtors intercompany;;;;5332U01;S_MA;U;;BS_IC
15112100;;;IT35;;;;;;;;BSD121200;Trade debtors intercompany;;;;5315U01;S_MA;U;;BS_IC
15112100;;;MT40;;;;;;;;BSD121200;Trade debtors intercompany;;;;9768U01;S_MA;U;;BS_IC
15112100;;;MY35;;;;;;;;BSD121200;Trade debtors intercompany;;;;5331U01;S_MA;U;;BS_IC
15112100;;;NL35;;;;;;;;BSD121200;Trade debtors intercompany;;;;5314U01;S_MA;U;;BS_IC
15112100;;;NL40;;;;;;;;BSD121200;Trade debtors intercompany;;;;1040U01;S_MA;U;;BS_IC
15112100;;;NL41;;;;;;;;BSD121200;Trade debtors intercompany;;;;1050U01;S_MA;U;;BS_IC
15112100;;;NL42;;;;;;;;BSD121200;Trade debtors intercompany;;;;4422U01;S_MA;U;;BS_IC
15112100;;;NL43;;;;;;;;BSD121200;Trade debtors intercompany;;;;S006U01;S_MA;U;;BS_IC
15112100;;;NL44;;;;;;;;BSD121200;Trade debtors intercompany;;;;S001U02;S_MA;U;;BS_IC
15112100;;;NO35;;;;;;;;BSD121200;Trade debtors intercompany;;;;5325U01;S_MA;U;;BS_IC
15112100;;;NZ35;;;;;;;;BSD121200;Trade debtors intercompany;;;;2166U01;S_MA;U;;BS_IC
15112100;;;PH35;;;;;;;;BSD121200;Trade debtors intercompany;;;;5334U01;S_MA;U;;BS_IC
15112100;;;PL35;;;;;;;;BSD121200;Trade debtors intercompany;;;;5321U01;S_MA;U;;BS_IC
15112100;;;PL40;;;;;;;;BSD121200;Trade debtors intercompany;;;;6885U01;S_MA;U;;BS_IC
15112100;;;PL41;;;;;;;;BSD121200;Trade debtors intercompany;;;;6710U01;S_MA;U;;BS_IC
15112100;;;SE35;;;;;;;;BSD121200;Trade debtors intercompany;;;;5308U01;S_MA;U;;BS_IC
15112100;;;SG35;;;;;;;;BSD121200;Trade debtors intercompany;;;;5333U01;S_MA;U;;BS_IC
15112100;;;IE42;;;;;;;;BSD121200;Trade debtors intercompany;;;;9981U01;S_MA;U;;BS_IC
15112100;;;DE42;;;;;;;;BSD121200;Trade debtors intercompany;;;;5030U01;S_MA;U;;BS_IC
15112100;;;DE43;;;;;;;;BSD121200;Trade debtors intercompany;;;;S005U01;S_MA;U;;BS_IC
15112100;;;FI41;;;;;;;;BSD121200;Trade debtors intercompany;;;;S108U01;S_MA;U;;BS_IC
15112100;;;US35;;;;;;;;BSD121200;Trade debtors intercompany;;;;5997U01;S_MA;U;;BS_IC
15112100;;;BE36;;;;;;;;BSD121200;Trade debtors intercompany;;;;5309U01;S_MA;U;;BS_IC
15112100;;;BE37;;;;;;;;BSD121200;Trade debtors intercompany;;;;S150U01;S_MA;U;;BS_IC
15112100;;;FR36;;;;;;;;BSD121200;Trade debtors intercompany;;;;5307U01;S_MA;U;;BS_IC
15112100;;;NL36;;;;;;;;BSD121200;Trade debtors intercompany;;;;5375U01;S_MA;U;;BS_IC
15112100;;;DE36;;;;;;;;BSD121200;Trade debtors intercompany;;;;5336U01;S_MA;U;;BS_IC
15112100;;;DE93;;;;;;;;BSD121200;Trade debtors intercompany;;;;5337U01;S_MA;U;;BS_IC
15112100;;;AU36;;;;;;;;BSD121200;Trade debtors intercompany;;;;2175U01;S_MA;U;;BS_IC
15112100;;;GB36;;;;;;;;BSD121200;Trade debtors intercompany;;;;2173U01;S_MA;U;;BS_IC
15112100;;;AU37;;;;;;;;BSD121200;Trade debtors intercompany;;;;2174U01;S_MA;U;;BS_IC
15112100;;;GB37;;;;;;;;BSD121200;Trade debtors intercompany;;;;5310U01;S_MA;U;;BS_IC
15112100;;;IE36;;;;;;;;BSD121200;Trade debtors intercompany;;;;9727U01;S_MA;U;;BS_IC
15112100;;;IE37;;;;;;;;BSD121200;Trade debtors intercompany;;;;9727U09;S_MA;U;;BS_IC
15112100;;;IE38;;;;;;;;BSD121200;Trade debtors intercompany;;;;9727U10;S_MA;U;;BS_IC
15112100;;;NL37;;;;;;;;BSD121200;Trade debtors intercompany;;;;1050U29;S_MA;U;;BS_IC
15112100;;;NL38;;;;;;;;BSD121200;Trade debtors intercompany;;;;1050U37;S_MA;U;;BS_IC
15112100;;;IE39;;;;;;;;BSD121200;Trade debtors intercompany;;;;9981U01;S_MA;U;;BS_IC
15112100;;;ES42;;;;;;;;BSD121200;Trade debtors intercompany;;;;S115U01;S_MA;U;;BS_IC
15112100;;;IE43;;;;;;;;BSD121200;Trade debtors intercompany;;;;9740U01;S_MA;U;;BS_IC
15112100;;;NL45;;;;;;;;BSD121200;Trade debtors intercompany;;;;1050U24;S_MA;U;;BS_IC
15112100;;;NL46;;;;;;;;BSD121200;Trade debtors intercompany;;;;1050U36;S_MA;U;;BS_IC
15112100;;;BE38;;;;;;;;BSD121200;Trade debtors intercompany;;;;S150U01;S_MA;U;;BS_IC
15112100;;;IE44;;;;;;;;BSD121200;Trade debtors intercompany;;;;9949U16;S_MA;U;;BS_IC
15112100;;;SE36;;;;;;;;BSD121200;Trade debtors intercompany;;;;S153U01;S_MA;U;;BS_IC
15112100;;;SE37;;;;;;;;BSD121200;Trade debtors intercompany;;;;S153U01;S_MA;U;;BS_IC
15112100;;;SE38;;;;;;;;BSD121200;Trade debtors intercompany;;;;S153U01;S_MA;U;;BS_IC
15112100;;;BE41;;;;;;;;BSD121200;Trade debtors intercompany;;;;S007U01;S_MA;U;;BS_IC
15112100;;;US36;;;;;;;;BSD121200;Trade debtors intercompany;;;;9712U01;S_MA;U;;BS_IC
15112101;;;;;;;;;;;BS121200;Trade debtors intercompany;;;;;S_MA;U;;BS
15112101;;;AE35;;;;;;;;BSD121200;Trade debtors intercompany;;;;2165U01;S_MA;U;;BS_IC
15112101;;;AT35;;;;;;;;BSD121200;Trade debtors intercompany;;;;2162U01;S_MA;U;;BS_IC
15112101;;;AT40;;;;;;;;BSD121200;Trade debtors intercompany;;;;1045U01;S_MA;U;;BS_IC
15112101;;;AU35;;;;;;;;BSD121200;Trade debtors intercompany;;;;2161U01;S_MA;U;;BS_IC
15112101;;;BE35;;;;;;;;BSD121200;Trade debtors intercompany;;;;S038U01;S_MA;U;;BS_IC
15112101;;;BE40;;;;;;;;BSD121200;Trade debtors intercompany;;;;2340U01;S_MA;U;;BS_IC
15112101;;;CH35;;;;;;;;BSD121200;Trade debtors intercompany;;;;S071U01;S_MA;U;;BS_IC
15112101;;;CH41;;;;;;;;BSD121200;Trade debtors intercompany;;;;S105U01;S_MA;U;;BS_IC
15112101;;;CN35;;;;;;;;BSD121200;Trade debtors intercompany;;;;5327U01;S_MA;U;;BS_IC
15112101;;;CZ35;;;;;;;;BSD121200;Trade debtors intercompany;;;;5317U01;S_MA;U;;BS_IC
15112101;;;DE35;;;;;;;;BSD121200;Trade debtors intercompany;;;;5300U01;S_MA;U;;BS_IC
15112101;;;DE40;;;;;;;;BSD121200;Trade debtors intercompany;;;;1020U01;S_MA;U;;BS_IC
15112101;;;DE41;;;;;;;;BSD121200;Trade debtors intercompany;;;;S005U01;S_MA;U;;BS_IC
15112101;;;DE91;;;;;;;;BSD121200;Trade debtors intercompany;;;;5324U01;S_MA;U;;BS_IC
15112101;;;DE92;;;;;;;;BSD121200;Trade debtors intercompany;;;;5323U01;S_MA;U;;BS_IC
15112101;;;DK40;;;;;;;;BSD121200;Trade debtors intercompany;;;;2156U01;S_MA;U;;BS_IC
15112101;;;ES35;;;;;;;;BSD121200;Trade debtors intercompany;;;;S060U01;S_MA;U;;BS_IC
15112101;;;ES40;;;;;;;;BSD121200;Trade debtors intercompany;;;;S115U01;S_MA;U;;BS_IC
15112101;;;ES41;;;;;;;;BSD121200;Trade debtors intercompany;;;;S115U01;S_MA;U;;BS_IC
15112101;;;FI40;;;;;;;;BSD121200;Trade debtors intercompany;;;;S108U02;S_MA;U;;BS_IC
15112101;;;FR35;;;;;;;;BSD121200;Trade debtors intercompany;;;;S059U01;S_MA;U;;BS_IC
15112101;;;GB35;;;;;;;;BSD121200;Trade debtors intercompany;;;;2160U01;S_MA;U;;BS_IC
15112101;;;GB40;;;;;;;;BSD121200;Trade debtors intercompany;;;;6053U01;S_MA;U;;BS_IC
